Name,Status,Price,Stars,Ratings,URL,UPC
FAIR Nintendo Switch 32GB Video Game Console - Black (HAC-001) / CONSOLE ONLY,Pre-Owned,$199.99,5.0,0,https://www.ebay.com/itm/164461978561?epid=15029958234&_trkparms=ispr%3D1&hash=item264ab2a3c1:g:YdgAAOSwHpZfmuCK&amdata=enc%3AAQAFAAACkBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkfOCvCjTOBWK8pwriaolq5sIazAkJ0efDYdsIfrz%252FTTfMNWLIJXFy%252B4YYARkCjacXqJfsRzp9pIvcafqjShCn%252Fj%252BRTJyLKARcbxRYa2nFA2YKJAl08JrJPu3EWYikb34xd0zYwuVnOq%252B8%252BM0zYG3wxXttw1bZe%252Fi8bbwby71z8oSTjiehhiQ37OPdekKs4dC86OQLp%252FgF%252B%252Bj2OzUK%252BK%252BwME17rfYzvL1w2n6aiIrgtQUeBg%252FkSBFmTCYJwhWjM5BNxUK9nofueYioFWLWQ7vuXwxxVGdWOlzjA7RaAI3gCloK8WanjyPNju0yRe5jhYoGuWkacghgf7Hm7DrMIUqquLcBCKJqXNaz5HpXiMsvm%252BjA9ZbWRyNLyuumL7AP%252Buq9bn6WaZl2lb0eeTUsNlal4iGfXyoVOkamrKL8EeH0tqjTuvx4mENEexlshXCYPaM2cbetIacQX8k89hEK8uWii2USlC2212En0floJVmz5Aw5l0Trw5ISVxRlTL2TMxbDNJGsJtf45QlEH6M0SUXqEUy5BCBlses7xhbXXV7b5FzpeinCsW8L5Z2VTilRRgaiZlEaE%252F7eFEh1%252B59IGuT0KqSpQKRQYLYlVYP7Q69B4PRMHlY4qzUy4byjPgg4qBejhaUC1fhqMD9x3D2LcHBpNJ7hXn5B5bgc7HzgVZuYPOLsQWvb0ddx8%252F0jioU6JYZxXSt2vF9pjxAfAHfCtXSKpgsioKD1%252Fr%252Bz2w7v52zcwPr90B2G3hRGbBru1GH2KSh63ijQFtOzENfaZIp%252FtLICSd8jwGrnhwOtlsj0bJy51jrImiMihGpC7Uv7sMySGJuP%7Ccksum%3A1644619785619706983cbc9748b4935edae9dfce1c85%7Campid%3APL_CLK%7Cclp%3A2334524,
FAIR Nintendo Switch Lite Hand-Held Gaming Console - Turquoise (HDH-001),Pre-Owned,$179.99,5.0,0,https://www.ebay.com/itm/164526140350?epid=19033843702&_trkparms=ispr%3D1&hash=item264e85abbe:g:rGIAAOSwjXtft-kU&amdata=enc%3AAQAFAAACkBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkfOCvCjTOBWK8pwriaolq5ovJvXN8aAsxwgqyBo8v%252Fk9hXdNiWFrk9exQr28py67uiDIaksPFMvmd%252FTL97uZyZREur%252Fb890VscEI582RN4EmiXJefBM9Ihmzbea4IHxJ1Sq2jQGP8%252Bwv1iHsjDq%252BFkAZ5AMV7oM92CW7JIqcfB4tcN%252BzXTJsGX9b9GftCBexgO16XSVOvyRqDc6CUVaaYANpbV5q%252Bk8vzfxz%252BfCdR0AFFNLnahu6n%252FeGgco8LhKFIomEes4spGoHf6011jnAVL%252FAB2Ox6EcRVQsC%252Fg9aD7ntHrnwqu0%252BNSC4BUk%252BEcER5S%252ByIUNZHqupz7U5xD1Qo09DjVcNf7hv9%252B6P5ON6NNDc9lBX8JSUIbX9lDpBpRCN%252BE3hDgvvl702leXxMjRwvQPkZT5BwnpnaBEihdn6sAT8zqEhSTUQnshjSnap3awTUbdM0MO%252BGuqg3Cq4GWX2x4oe5gklq9eWjeVmkdi%252BSEVgRH%252BpnDRvpG3e3ecI76K75FVVMAQdh5%252Fs316bJ%252BaDWmDqGTPogy%252FBYnFNAGoBkfiznplIkMBv9%252BCeHJuHOMuOQ3FC36bJ5Yu%252BOxNjeeEq0DtZCG3tMs0oS%252FpSeMyTvJPh17CWcgsOYDukeg3qLIDOEVWD8FKzw9nhs3AcQaFlYf%252BexFZWw4CGt%252Fv8PCMKKbI0%252BCxv1vTGTxcO4mSVTPMq%252BrM57eIAdDg9Oh46Lx4dACjbGN%252FXmTDlEmstGOJUkBr%252BGKUZ95VhDxLY%252FVxvNWqnkmkkHMXhVsoJYoPdqgEswDCxigwg1HAmnr0%252BwVf5H1nL1BcznMD%252F95%252Be0FaFF7xJu%7Ccksum%3A1645261403509706983cbc9748b4935edae9dfce1c85%7Campid%3APL_CLK%7Cclp%3A2334524,
Nintendo - Switch 32GB Console - Neon Red/Neon Blue Joy-Con,Brand New,$344.99,5.0,0,https://www.ebay.com/itm/164227626757?epid=25034355190&hash=item263cbab705:g:6nAAAOSwGXJe1S50,
Nintendo Switch 32GB Console with Neon Blue / Red Joy-Cons (HAC-001),Pre-Owned,$249.99,5.0,0,https://www.ebay.com/itm/184815944861?epid=23024812516&_trkparms=ispr%3D1&hash=item2b07e3849d:g:iz8AAOSwXq5gkjzP&amdata=enc%3AAQAFAAACkBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickk8Fd9si%252FIbtWQr%252BhnlRwjDT26i9B3MuwSFdmkIvhVZ8XEU16sEu3UfAKVDyFZNiwTHPAkRFAwLJQCqDJ7VFZVqNK9dirzWs01ttHbRFqKUdAYhlGRt%252FuoIgAUXjs%252FVUZggmg%252Bo%252BgLrqo6I96oKJdEuu2BgmKS%252FbIpu%252B7DA0%252BeyvEKZPqY0h09JhXZrQZtSdmOJbs75PdGYc4LvMSw9F9iRM%252FO5zy8xmKL68HFCounB5kiZm6LerRcNaVcda1Qu5A9PO%252FAO9sN6r4lN0jBQATvnkqZ3x9wohpSW2i%252FwXpU7B6wImJIDCYatZP4ja9%252Fy2ox3qMJld3KtKT1nXBDDfxhNRFcG3ygBu9dGMDYLWJTXb4evvh%252FB%252BSviIa%252FULFvWWBRK00YrpqiiFmABm2LiWGeQoYnXw3Fx4VSV4Wnl13Bn8BXLDHhIRnCHzVAVqUNjw4HoaFPHcNVxswpBT8c%252BZQRHBrR4Wv7vtWwEc%252BHMoqei0iZrRuiXA9fawkW%252Fukd6Qb4FF%252FtYfjt%252FFdln74w%252BwYUpjZ46wRG2djUxV0worCWbfPCs9XEv6OkPGm%252BmBQficeiGozD75dl2ZyM8TfUYUBiFZuNTtm1S09qDLoQodVIeUgwu3buoHFpvbWqfYcnavG34B8xJzY%252FbtzZJ0rf8mbpMWTAFQoBY4PYOXc%252FGieFrM2vgkhyEtsBxtKURw70dLzqNB9Yda9hQvwtSa1fqK2GH%252BiAxwG%252BWuVMDvHU7BnDPDk6vPJvtECIDp6MBEafflklYK%252FvmrKm4EYJW%252F0VG5qNvh0i6G25vJtQbQm0nhXlWkbc%252F5OEtKilpxacWH%252B5rVCk%7Ccksum%3A1848159448619706983cbc9748b4935edae9dfce1c85%7Campid%3APL_CLK%7Cclp%3A2334524,
Nintendo Switch Mario Red and Blue Limited Edition Console NA Version BRAND RARE,Pre-Owned,$369.00,5.0,0,https://www.ebay.com/itm/284274573330?epid=7043942717&_trkparms=ispr%3D1&hash=item423015c012:g:~QgAAOSw0xdgiHC9&amdata=enc%3AAQAFAAACkBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickk7PdDazAlGltMLJlUhrWsD1vJbGZYRq5lRSwR5xp2jPiDAqtfmZQISfPlbvcQ7fyZRMrtbtOzPPqznNRjWJ9jH9xuEbmZlbf9lbmgqUqP8pVz0MzNtEOPEBTRliV%252FHTqWJaBtJmVVLZnp8OtgMqni%252BY0TLA64fYe7ciGg7uk3b%252Fp2efi1C7zUzqbRYTn8Dy0jjxjNSDVs7JphdkfOo1eopIgbLVITqtCUzKAQtM2oyHF83e5a8QNWDIj2qcn66S%252BFryw%252FWfnRRjWLXDz76mzcVxdXwdd18vJ9HBFt2amtlFKeUobr4EN%252BbbAwdoA%252BoseRyFJHPGlfBHNzrZ94UU83GLF%252FNNtbHABj1rUi2CAm21O5aoT9hAmg9QkbPPbk24bhHT5rX65Ruv%252BvX6aiYEtXBCvL%252BupxLdhBJGTBcL9PQ8A1FZix4TaBgtWZF8JGyi3V4lwqfvNyD8Q6cJJYdP8Gc0eiZxaMp%252BTdUYS3%252B56SXzzZcXL9z5DoeRrMDEh1Xr%252FiqXRuYoJMdYPdaBvRuQDLhRg8%252FlUJGSQXENUqixGPfzPPiCvoV%252Bb2U3LBPfEtGdEK02zxZCj821Amgi2ogEGLZK0X10GiV9Btu3Uay0I0pJPIT9jKFRVXvHGwtubZm0UcxbmKKzpb1uIfjJHybfjeiNxcENXGPn3hosZzYwZG7wPdnsUJB%252FHGthnaFZKAwjIkaHUIDeikpc1KKYuYVMHrK6hWGeVU6fzmAClkllPzsVZMULq2n5wuqnW6P1zI09KL9aBQri3dgzbU6U%252F8SXIg1m8u1CIo7zcHbdHAPx6sAbHyUThliYTgaoqP5nNbh6cc%7Ccksum%3A2842745733309706983cbc9748b4935edae9dfce1c85%7Campid%3APL_CLK%7Cclp%3A2334524,
Nintendo Switch 64GB Gray Console with Neon Red and Neon Blue Joy-Con + 1 Game,Pre-Owned,$222.50,5.0,0,https://www.ebay.com/itm/114792051968?epid=23024812516&hash=item1aba23b500:g:rZcAAOSwUNNgiEQC,
Nintendo Switch 32GB Neon Red/Neon Blue Console,Pre-Owned,$160.00,Tim,0,https://www.ebay.com/itm/313517731016?hash=item48ff1cecc8:g:qnoAAOSwj7hghv6v,
Nintendo Switch 32GB Gray Console with Neon Red and Neon Blue Joy-Con,Brand New,$220.00,5.0,0,https://www.ebay.com/itm/384137133145?epid=23024812516&hash=item59705b7c59:g:N5UAAOSwccFgkDVX,
Brand New Nintendo Switch Fortnite Wildcat Console Bundle - NO CODE many pics,Brand New,$251.00,Tim,0,https://www.ebay.com/itm/265147088798?hash=item3dbbff7f9e:g:lwMAAOSwqDxgiIO1,
Nintendo Switch Monster Hunter Special Pack Console - In Hand Ready To Ship NOW!,Brand New,$450.00,5.0,0,https://www.ebay.com/itm/114794466494?epid=26043440911&hash=item1aba488cbe:g:f78AAOSwdUJgkrml,
Nintendo Switch 32GB Console with Gray Joy‑Con & Mario Kart 8,Pre-Owned,$232.50,5.0,0,https://www.ebay.com/itm/254964617170?epid=25034355190&hash=item3b5d134fd2:g:ucMAAOSwo6FgjxfV,
Nintendo Switch 32GB Neon Red/Neon Blue Console,Pre-Owned,$300.00,4.5,0,https://www.ebay.com/itm/333987416655?epid=16029037217&hash=item4dc3338a4f:g:cpsAAOSwyDpgkKxK,
Nintendo Switch 32GB Neon Red/Neon Blue Console (with Animal Crossing),Pre-Owned,$212.50,4.5,0,https://www.ebay.com/itm/164846829136?epid=16029037217&hash=item2661a2fe50:g:TMEAAOSwAMVgkCoU,
FAIR / AUX ISSUE Nintendo Switch 32GB Console - Black (HAC-001) / CONSOLE ONLY,Pre-Owned,$179.99,5.0,0,https://www.ebay.com/itm/144016892001?epid=15029958234&hash=item2188136061:g:p00AAOSwSLtggZBf,
Genuine Nintendo Switch 32GB Gray Console with Gray Joy-Cons HAC-001 UD - GST10,Pre-Owned,$199.99,5.0,0,https://www.ebay.com/itm/203442800692?epid=25034355190&hash=item2f5e22c834:g:YJEAAOSw5iVb5Dyr,
Nintendo Switch 32GB Console with Neon Blue / Red Joy-Cons HAC-001 - VG - GST1,Pre-Owned,$199.99,5.0,0,https://www.ebay.com/itm/203442726010?epid=23024812516&hash=item2f5e21a47a:g:zioAAOSwP8db9aMp,
Nintendo Switch - Mario Red & Blue Edition Console (32GB),Brand New,$349.71,5.0,0,https://www.ebay.com/itm/114785461767?epid=7043942717&hash=item1ab9bf2607:g:0QMAAOSwHTlgifli,
Nintendo Switch Console Gray with Switch Pro Controller and 256gb microSD card ,Pre-Owned,$230.00,Tim,0,https://www.ebay.com/itm/184803659005?hash=item2b07280cfd:g:UA8AAOSw6cRgjHD-,
Nintendo Switch Console Animal Crossing: New Horizons Edition + Pokemon Snap,Brand New,$429.99,Pre,0,https://www.ebay.com/itm/294152053566?hash=item447cd4233e:g:F6sAAOSwwLhgkACX,
"Nintendo Switch Console 32GB, 128GB MicroSDXC",Pre-Owned,$200.00,Tim,0,https://www.ebay.com/itm/224445644710?hash=item344200bfa6:g:em4AAOSwdQRghjKs,
Nintendo Switch 32GB Console w/Blue Red Joy Con HAC-0018 ,Pre-Owned,$187.50,5.0,0,https://www.ebay.com/itm/274780008588?epid=23024812516&hash=item3ffa2a308c:g:Zu4AAOSwAAtgjDN9,
Nintendo Switch 32GB Neon Red/Neon Blue Console. BRAND NEW FAST SHIP,Brand New,$188.51,4.5,0,https://www.ebay.com/itm/114793187735?epid=16029037217&hash=item1aba350997:g:t-AAAOSwcwtgkW6l,
Nintendo Switch 32GB Neon Red/Neon Blue Console,Pre-Owned,$250.00,4.5,0,https://www.ebay.com/itm/324603469177?epid=16029037217&hash=item4b93dfdd79:g:n8QAAOSwdepfKFw0,
Nintendo Switch 32GB Neon Red/Neon Blue Console,Brand New,$360.00,4.5,0,https://www.ebay.com/itm/133600841711?epid=16029037217&hash=item1f1b3b0fef:g:928AAOSwZ5Vfz-9q,
nintendo switch console HAC-001 + extras,Pre-Owned,$150.00,Tim,0,https://www.ebay.com/itm/324603011502?hash=item4b93d8e1ae:g:UoQAAOSwLjxggtzB,
Nintendo Switch Console Bundle 32GB with 3 Great Games Mario Smash Zelda ,Pre-Owned,$449.99,5.0,0,https://www.ebay.com/itm/123912229267?epid=23024812516&hash=item1cd9be9193:g:afoAAOSweXddWW3-,
nintendo switch console case mario kart 8 xenoblade red wings,Pre-Owned,$79.00,Tim,0,https://www.ebay.com/itm/124709628836?hash=item1d0945eba4:g:JgYAAOSwxAtghIfl,
Nintendo Switch Fortnite Special Edition Console Blue Yellow - (No Wildcat Code),Refurbished,$114.50,5.0,0,https://www.ebay.com/itm/133751062704?epid=3043437649&hash=item1f242f40b0:g:W9UAAOSwAoFgdfhR,
NINTENDO SWITCH 32GB HAC-001(-01) GAMING CONSOLE (CMP046377),Pre-Owned,$299.95,4.5,0,https://www.ebay.com/itm/313515506713?epid=16029037217&hash=item48fefafc19:g:gOcAAOSw96xgjy49,
Nintendo Switch System Console Tablet Only Replacement Grade B,Pre-Owned,$184.99,Wat,0,https://www.ebay.com/itm/384064697577?hash=item596c0a34e9:g:feYAAOSwsQ1gX71H,
"Nintendo Switch Lite Gray Console Bundle with Mario Odyssey, Holders&CarryCase  ",Pre-Owned,$152.50,5.0,0,https://www.ebay.com/itm/254965743308?epid=22034912824&hash=item3b5d247ecc:g:rjgAAOSwcsNgkEP5,
Nintendo Switch Game Console,Pre-Owned,$202.50,5.0,0,https://www.ebay.com/itm/353476913486?epid=28034636949&hash=item524cdda94e:g:RSEAAOSwEddgdKEn,
Nintendo Switch HAC-001(-01) 32GB Console with joy con,Refurbished,$182.00,5.0,0,https://www.ebay.com/itm/265143516895?epid=25034355190&hash=item3dbbc8fedf:g:KJ0AAOSwQtFgjIIh,
Nintendo switch console Used,Pre-Owned,$300.00,Wat,0,https://www.ebay.com/itm/313411745043?hash=item48f8cbb513:g:tIoAAOSwKVBgIWFv,
Brand New Nintendo Switch Lite - Gray Console,Brand New,$182.50,5.0,0,https://www.ebay.com/itm/124704662365?epid=17033847403&hash=item1d08fa235d:g:TxsAAOSw5rZgjPNO,
Nintendo Switch HAC-001 Handheld Console - 32GB - Gray Joy-Con Controllers...,Pre-Owned,$161.00,5.0,0,https://www.ebay.com/itm/313515805808?epid=4043425084&hash=item48feff8c70:g:PRwAAOSwYZBf9yEs,
GRADE B Working Nintendo Switch 32GB Replacement System Console Tablet Only OEM,Pre-Owned,$199.99,Wat,0,https://www.ebay.com/itm/264349996071?hash=item3d8c7cd427:g:HYAAAOSwkMVc0TJB,
Nintendo Switch Console Complete Bundle With Games,Pre-Owned,$350.00,Wat,0,https://www.ebay.com/itm/144024654207?hash=item218889d17f:g:hAgAAOSwzh9gi33P,
"Nintendo Switch 32GB Neon Red/Neon Blue Console (v2, with upgraded battery)",Pre-Owned,$215.00,4.5,0,https://www.ebay.com/itm/274784371048?epid=16029037217&hash=item3ffa6cc168:g:SBAAAOSwpjlgkLMw,
